algoritmo,tamaño,promedio_ms,min_ms,max_ms,num_ejecuciones
NaivOnArray,16,9.1344,0.0386,18.2302,2
NaivLoopUnrollingTwo,16,1.9254,0.2835,3.5673,2
NaivLoopUnrollingFour,16,5.6244,0.2688,10.9800,2
WinogradOriginal,16,42.0407,0.3157,83.7657,2
WinogradScaled,16,37.8541,0.5876,75.1206,2
StrassenNaiv,16,3.7694,1.1534,6.3853,2
StrassenWinograd,16,5.1227,3.5456,6.6997,2
CC_SequentialBlock,16,1.2645,0.2876,2.2415,2
CC_ParallelBlock,16,18.2554,0.3608,36.1500,2
RC_SequentialBlock,16,4.4647,0.2827,8.6466,2
RC_ParallelBlock,16,3.3530,0.4069,6.2991,2
RC_EnhancedParallelBlock,16,99.5468,44.6208,154.4727,2
RR_SequentialBlock,16,1.2008,0.2971,2.1045,2
RR_ParallelBlock,16,3.4318,0.4128,6.4508,2
RR_EnhancedParallelBlock,16,61.7738,32.5349,91.0126,2
NaivOnArray,32,0.0670,0.0573,0.0766,2
NaivLoopUnrollingTwo,32,3.1731,2.3358,4.0104,2
NaivLoopUnrollingFour,32,2.8513,1.7469,3.9556,2
WinogradOriginal,32,3.2733,2.5098,4.0367,2
WinogradScaled,32,1.9740,1.1735,2.7745,2
StrassenNaiv,32,6.6406,5.2551,8.0261,2
StrassenWinograd,32,28.6640,19.2394,38.0886,2
CC_SequentialBlock,32,20.3872,13.5294,27.2449,2
CC_ParallelBlock,32,14.7942,6.4815,23.1068,2
RC_SequentialBlock,32,6.1029,2.1857,10.0200,2
RC_ParallelBlock,32,4.3298,2.7024,5.9571,2
RC_EnhancedParallelBlock,32,19.6873,9.8933,29.4813,2
RR_SequentialBlock,32,3.4457,2.5702,4.3212,2
RR_ParallelBlock,32,1.9868,1.9597,2.0140,2
RR_EnhancedParallelBlock,32,46.1787,12.4208,79.9365,2
NaivOnArray,64,1.0882,0.4787,1.6977,2
NaivLoopUnrollingTwo,64,5.9926,3.2326,8.7525,2
NaivLoopUnrollingFour,64,143.8592,2.3037,285.4146,2
WinogradOriginal,64,2.0402,1.9497,2.1307,2
WinogradScaled,64,3.9479,2.0954,5.8004,2
StrassenNaiv,64,146.4155,97.0549,195.7761,2
StrassenWinograd,64,92.7284,67.0486,118.4082,2
CC_SequentialBlock,64,4.9895,1.8670,8.1121,2
CC_ParallelBlock,64,8.1180,6.5293,9.7067,2
RC_SequentialBlock,64,17.4359,6.6398,28.2319,2
RC_ParallelBlock,64,7.8156,6.1098,9.5214,2
RC_EnhancedParallelBlock,64,75.1531,34.4668,115.8394,2
RR_SequentialBlock,64,3.2976,3.1749,3.4203,2
RR_ParallelBlock,64,5.0574,4.4741,5.6407,2
RR_EnhancedParallelBlock,64,62.0135,59.8661,64.1609,2
NaivOnArray,128,5.7272,3.8873,7.5671,2
NaivLoopUnrollingTwo,128,7.2656,5.7864,8.7447,2
NaivLoopUnrollingFour,128,70.1996,4.7361,135.6631,2
WinogradOriginal,128,57.0888,4.8845,109.2930,2
WinogradScaled,128,59.9851,10.7241,109.2461,2
StrassenNaiv,128,446.2276,246.7994,645.6558,2
StrassenWinograd,128,379.0114,367.2885,390.7342,2
CC_SequentialBlock,128,11.9370,11.3421,12.5319,2
CC_ParallelBlock,128,9.3109,8.6659,9.9558,2
RC_SequentialBlock,128,10.7273,9.5214,11.9331,2
RC_ParallelBlock,128,9.3410,2.2834,16.3986,2
RC_EnhancedParallelBlock,128,29.7337,12.0704,47.3969,2
RR_SequentialBlock,128,6.5170,4.0742,8.9597,2
RR_ParallelBlock,128,4.1241,2.4655,5.7827,2
RR_EnhancedParallelBlock,128,33.5172,18.2567,48.7777,2
