algoritmo,tamaño,caso,tiempo_ns,tiempo_ms,lenguaje,tipo_ejecucion
NaivOnArray,16,1,2119100,2.1191,Java,secuencial
NaivLoopUnrollingTwo,16,1,1771700,1.7717,Java,secuencial
NaivLoopUnrollingFour,16,1,1849200,1.8492,Java,secuencial
WinogradOriginal,16,1,1661800,1.6618,Java,secuencial
WinogradScaled,16,1,2116200,2.1162,Java,secuencial
StrassenNaiv,16,1,4527100,4.5271,Java,secuencial
StrassenWinograd,16,1,2583000,2.5830,Java,secuencial
CC_SequentialBlock,16,1,2592200,2.5922,Java,secuencial
CC_ParallelBlock,16,1,18417200,18.4172,Java,secuencial
RC_SequentialBlock,16,1,1836700,1.8367,Java,secuencial
RC_ParallelBlock,16,1,4068800,4.0688,Java,secuencial
RC_EnhancedParallelBlock,16,1,10139500,10.1395,Java,secuencial
RR_SequentialBlock,16,1,1802700,1.8027,Java,secuencial
RR_ParallelBlock,16,1,3744900,3.7449,Java,secuencial
RR_EnhancedParallelBlock,16,1,6873000,6.8730,Java,secuencial
NaivOnArray,16,2,35800,0.0358,Java,secuencial
NaivLoopUnrollingTwo,16,2,219100,0.2191,Java,secuencial
NaivLoopUnrollingFour,16,2,224100,0.2241,Java,secuencial
WinogradOriginal,16,2,299600,0.2996,Java,secuencial
WinogradScaled,16,2,353800,0.3538,Java,secuencial
StrassenNaiv,16,2,3036900,3.0369,Java,secuencial
StrassenWinograd,16,2,1062100,1.0621,Java,secuencial
CC_SequentialBlock,16,2,319500,0.3195,Java,secuencial
CC_ParallelBlock,16,2,380500,0.3805,Java,secuencial
RC_SequentialBlock,16,2,278900,0.2789,Java,secuencial
RC_ParallelBlock,16,2,318700,0.3187,Java,secuencial
RC_EnhancedParallelBlock,16,2,1367500,1.3675,Java,secuencial
RR_SequentialBlock,16,2,284400,0.2844,Java,secuencial
RR_ParallelBlock,16,2,333400,0.3334,Java,secuencial
RR_EnhancedParallelBlock,16,2,1180000,1.1800,Java,secuencial
