algoritmo,tamaño,caso,tiempo_ns,tiempo_ms,lenguaje,tipo_ejecucion
NaivOnArray,16,1,6383900,6.3839,Java,secuencial
NaivLoopUnrollingTwo,16,1,6566200,6.5662,Java,secuencial
NaivLoopUnrollingFour,16,1,4799800,4.7998,Java,secuencial
WinogradOriginal,16,1,2841500,2.8415,Java,secuencial
WinogradScaled,16,1,3140600,3.1406,Java,secuencial
StrassenNaiv,16,1,8270200,8.2702,Java,secuencial
StrassenWinograd,16,1,6417000,6.4170,Java,secuencial
CC_SequentialBlock,16,1,3229400,3.2294,Java,secuencial
CC_ParallelBlock,16,1,105632000,105.6320,Java,secuencial
RC_SequentialBlock,16,1,7441400,7.4414,Java,secuencial
RC_ParallelBlock,16,1,6569000,6.5690,Java,secuencial
RC_EnhancedParallelBlock,16,1,29523400,29.5234,Java,secuencial
RR_SequentialBlock,16,1,5537100,5.5371,Java,secuencial
RR_ParallelBlock,16,1,5877000,5.8770,Java,secuencial
RR_EnhancedParallelBlock,16,1,11348300,11.3483,Java,secuencial
NaivOnArray,16,2,61400,0.0614,Java,secuencial
NaivLoopUnrollingTwo,16,2,1198000,1.1980,Java,secuencial
NaivLoopUnrollingFour,16,2,219000,0.2190,Java,secuencial
WinogradOriginal,16,2,242700,0.2427,Java,secuencial
WinogradScaled,16,2,458400,0.4584,Java,secuencial
StrassenNaiv,16,2,1058800,1.0588,Java,secuencial
StrassenWinograd,16,2,1275900,1.2759,Java,secuencial
CC_SequentialBlock,16,2,245900,0.2459,Java,secuencial
CC_ParallelBlock,16,2,357700,0.3577,Java,secuencial
RC_SequentialBlock,16,2,264700,0.2647,Java,secuencial
RC_ParallelBlock,16,2,421300,0.4213,Java,secuencial
RC_EnhancedParallelBlock,16,2,1217100,1.2171,Java,secuencial
RR_SequentialBlock,16,2,346000,0.3460,Java,secuencial
RR_ParallelBlock,16,2,414400,0.4144,Java,secuencial
RR_EnhancedParallelBlock,16,2,1915700,1.9157,Java,secuencial
NaivOnArray,32,1,337400,0.3374,Java,secuencial
NaivLoopUnrollingTwo,32,1,4603000,4.6030,Java,secuencial
NaivLoopUnrollingFour,32,1,1401200,1.4012,Java,secuencial
WinogradOriginal,32,1,1996100,1.9961,Java,secuencial
WinogradScaled,32,1,2797900,2.7979,Java,secuencial
StrassenNaiv,32,1,7646200,7.6462,Java,secuencial
StrassenWinograd,32,1,8798300,8.7983,Java,secuencial
CC_SequentialBlock,32,1,1952200,1.9522,Java,secuencial
CC_ParallelBlock,32,1,3166100,3.1661,Java,secuencial
RC_SequentialBlock,32,1,2206500,2.2065,Java,secuencial
RC_ParallelBlock,32,1,3570600,3.5706,Java,secuencial
RC_EnhancedParallelBlock,32,1,2209100,2.2091,Java,secuencial
RR_SequentialBlock,32,1,1927100,1.9271,Java,secuencial
RR_ParallelBlock,32,1,1700600,1.7006,Java,secuencial
RR_EnhancedParallelBlock,32,1,2151500,2.1515,Java,secuencial
NaivOnArray,32,2,73300,0.0733,Java,secuencial
NaivLoopUnrollingTwo,32,2,1822200,1.8222,Java,secuencial
NaivLoopUnrollingFour,32,2,1396600,1.3966,Java,secuencial
WinogradOriginal,32,2,5167600,5.1676,Java,secuencial
WinogradScaled,32,2,871200,0.8712,Java,secuencial
StrassenNaiv,32,2,5652300,5.6523,Java,secuencial
StrassenWinograd,32,2,8366300,8.3663,Java,secuencial
CC_SequentialBlock,32,2,2711700,2.7117,Java,secuencial
CC_ParallelBlock,32,2,2348900,2.3489,Java,secuencial
RC_SequentialBlock,32,2,3419100,3.4191,Java,secuencial
RC_ParallelBlock,32,2,4615200,4.6152,Java,secuencial
RC_EnhancedParallelBlock,32,2,2284000,2.2840,Java,secuencial
RR_SequentialBlock,32,2,2712700,2.7127,Java,secuencial
RR_ParallelBlock,32,2,1577300,1.5773,Java,secuencial
RR_EnhancedParallelBlock,32,2,2228700,2.2287,Java,secuencial
NaivOnArray,64,1,751500,0.7515,Java,secuencial
NaivLoopUnrollingTwo,64,1,4777800,4.7778,Java,secuencial
NaivLoopUnrollingFour,64,1,13895000,13.8950,Java,secuencial
WinogradOriginal,64,1,2316000,2.3160,Java,secuencial
WinogradScaled,64,1,3660800,3.6608,Java,secuencial
