algoritmo,tamaño,caso,tiempo_ns,tiempo_ms,lenguaje,tipo_ejecucion
NaivOnArray,16,1,1665300,1.6653,Python,secuencial
NaivLoopUnrollingTwo,16,1,1664500,1.6645,Python,secuencial
NaivLoopUnrollingFour,16,1,1303000,1.3030,Python,secuencial
WinogradOriginal,16,1,1623700,1.6237,Python,secuencial
WinogradScaled,16,1,1969300,1.9693,Python,secuencial
StrassenNaiv,16,1,12654600,12.6546,Python,secuencial
StrassenWinograd,16,1,9215800,9.2158,Python,secuencial
CC_SequentialBlock,16,1,1552000,1.5520,Python,secuencial
CC_ParallelBlock,16,1,6445300,6.4453,Python,secuencial
RC_SequentialBlock,16,1,950100,0.9501,Python,secuencial
RC_ParallelBlock,16,1,2072700,2.0727,Python,secuencial
RC_EnhancedParallelBlock,16,1,2783200,2.7832,Python,secuencial
RR_SequentialBlock,16,1,1611100,1.6111,Python,secuencial
RR_ParallelBlock,16,1,2048100,2.0481,Python,secuencial
RR_EnhancedParallelBlock,16,1,6882200,6.8822,Python,secuencial
NaivOnArray,16,2,897200,0.8972,Python,secuencial
NaivLoopUnrollingTwo,16,2,1230700,1.2307,Python,secuencial
NaivLoopUnrollingFour,16,2,965900,0.9659,Python,secuencial
WinogradOriginal,16,2,1622400,1.6224,Python,secuencial
WinogradScaled,16,2,1627900,1.6279,Python,secuencial
StrassenNaiv,16,2,9187900,9.1879,Python,secuencial
StrassenWinograd,16,2,8812000,8.8120,Python,secuencial
CC_SequentialBlock,16,2,3334100,3.3341,Python,secuencial
CC_ParallelBlock,16,2,2861700,2.8617,Python,secuencial
RC_SequentialBlock,16,2,1604700,1.6047,Python,secuencial
RC_ParallelBlock,16,2,5300500,5.3005,Python,secuencial
RC_EnhancedParallelBlock,16,2,8568100,8.5681,Python,secuencial
RR_SequentialBlock,16,2,1296800,1.2968,Python,secuencial
RR_ParallelBlock,16,2,2954600,2.9546,Python,secuencial
RR_EnhancedParallelBlock,16,2,4138800,4.1388,Python,secuencial
NaivOnArray,32,1,10142200,10.1422,Python,secuencial
NaivLoopUnrollingTwo,32,1,12135100,12.1351,Python,secuencial
NaivLoopUnrollingFour,32,1,12133400,12.1334,Python,secuencial
WinogradOriginal,32,1,15619700,15.6197,Python,secuencial
WinogradScaled,32,1,12654400,12.6544,Python,secuencial
StrassenNaiv,32,1,73079400,73.0794,Python,secuencial
StrassenWinograd,32,1,69562100,69.5621,Python,secuencial
CC_SequentialBlock,32,1,21448200,21.4482,Python,secuencial
CC_ParallelBlock,32,1,35450800,35.4508,Python,secuencial
RC_SequentialBlock,32,1,13411400,13.4114,Python,secuencial
RC_ParallelBlock,32,1,15567800,15.5678,Python,secuencial
RC_EnhancedParallelBlock,32,1,16119500,16.1195,Python,secuencial
RR_SequentialBlock,32,1,12146300,12.1463,Python,secuencial
RR_ParallelBlock,32,1,16796600,16.7966,Python,secuencial
RR_EnhancedParallelBlock,32,1,20103100,20.1031,Python,secuencial
NaivOnArray,32,2,11698600,11.6986,Python,secuencial
NaivLoopUnrollingTwo,32,2,14548400,14.5484,Python,secuencial
NaivLoopUnrollingFour,32,2,9240100,9.2401,Python,secuencial
WinogradOriginal,32,2,27688000,27.6880,Python,secuencial
WinogradScaled,32,2,19572000,19.5720,Python,secuencial
StrassenNaiv,32,2,115667800,115.6678,Python,secuencial
StrassenWinograd,32,2,97018000,97.0180,Python,secuencial
CC_SequentialBlock,32,2,11738000,11.7380,Python,secuencial
CC_ParallelBlock,32,2,43800300,43.8003,Python,secuencial
RC_SequentialBlock,32,2,15173900,15.1739,Python,secuencial
RC_ParallelBlock,32,2,22395700,22.3957,Python,secuencial
RC_EnhancedParallelBlock,32,2,40515100,40.5151,Python,secuencial
RR_SequentialBlock,32,2,13054100,13.0541,Python,secuencial
RR_ParallelBlock,32,2,26962200,26.9622,Python,secuencial
RR_EnhancedParallelBlock,32,2,17188700,17.1887,Python,secuencial
NaivOnArray,64,1,94442300,94.4423,Python,secuencial
NaivLoopUnrollingTwo,64,1,132377100,132.3771,Python,secuencial
NaivLoopUnrollingFour,64,1,141774800,141.7748,Python,secuencial
WinogradOriginal,64,1,204063600,204.0636,Python,secuencial
WinogradScaled,64,1,163946800,163.9468,Python,secuencial
StrassenNaiv,64,1,738650600,738.6506,Python,secuencial
StrassenWinograd,64,1,504830400,504.8304,Python,secuencial
CC_SequentialBlock,64,1,76648100,76.6481,Python,secuencial
CC_ParallelBlock,64,1,88563100,88.5631,Python,secuencial
RC_SequentialBlock,64,1,70675300,70.6753,Python,secuencial
RC_ParallelBlock,64,1,78099600,78.0996,Python,secuencial
RC_EnhancedParallelBlock,64,1,104567000,104.5670,Python,secuencial
RR_SequentialBlock,64,1,93663700,93.6637,Python,secuencial
RR_ParallelBlock,64,1,103721000,103.7210,Python,secuencial
RR_EnhancedParallelBlock,64,1,113419100,113.4191,Python,secuencial
NaivOnArray,64,2,84211800,84.2118,Python,secuencial
NaivLoopUnrollingTwo,64,2,144956100,144.9561,Python,secuencial
NaivLoopUnrollingFour,64,2,94255900,94.2559,Python,secuencial
WinogradOriginal,64,2,84767500,84.7675,Python,secuencial
WinogradScaled,64,2,91199300,91.1993,Python,secuencial
StrassenNaiv,64,2,595629300,595.6293,Python,secuencial
StrassenWinograd,64,2,451326000,451.3260,Python,secuencial
CC_SequentialBlock,64,2,70917000,70.9170,Python,secuencial
CC_ParallelBlock,64,2,106326400,106.3264,Python,secuencial
RC_SequentialBlock,64,2,68072000,68.0720,Python,secuencial
RC_ParallelBlock,64,2,83674000,83.6740,Python,secuencial
RC_EnhancedParallelBlock,64,2,74532800,74.5328,Python,secuencial
RR_SequentialBlock,64,2,70597100,70.5971,Python,secuencial
RR_ParallelBlock,64,2,77816600,77.8166,Python,secuencial
RR_EnhancedParallelBlock,64,2,83840800,83.8408,Python,secuencial
NaivOnArray,128,1,587053200,587.0532,Python,secuencial
NaivLoopUnrollingTwo,128,1,834560900,834.5609,Python,secuencial
NaivLoopUnrollingFour,128,1,628835600,628.8356,Python,secuencial
WinogradOriginal,128,1,781720200,781.7202,Python,secuencial
WinogradScaled,128,1,862526400,862.5264,Python,secuencial
StrassenNaiv,128,1,3378560900,3378.5609,Python,secuencial
StrassenWinograd,128,1,3197470000,3197.4700,Python,secuencial
CC_SequentialBlock,128,1,658508100,658.5081,Python,secuencial
CC_ParallelBlock,128,1,676265800,676.2658,Python,secuencial
RC_SequentialBlock,128,1,629235400,629.2354,Python,secuencial
RC_ParallelBlock,128,1,840387000,840.3870,Python,secuencial
RC_EnhancedParallelBlock,128,1,763967400,763.9674,Python,secuencial
RR_SequentialBlock,128,1,1140565900,1140.5659,Python,secuencial
RR_ParallelBlock,128,1,866574300,866.5743,Python,secuencial
RR_EnhancedParallelBlock,128,1,788901700,788.9017,Python,secuencial
NaivOnArray,128,2,771420200,771.4202,Python,secuencial
NaivLoopUnrollingTwo,128,2,1126216900,1126.2169,Python,secuencial
NaivLoopUnrollingFour,128,2,803929000,803.9290,Python,secuencial
WinogradOriginal,128,2,907032500,907.0325,Python,secuencial
WinogradScaled,128,2,879987700,879.9877,Python,secuencial
StrassenNaiv,128,2,4305428300,4305.4283,Python,secuencial
StrassenWinograd,128,2,4965071900,4965.0719,Python,secuencial
CC_SequentialBlock,128,2,835027400,835.0274,Python,secuencial
CC_ParallelBlock,128,2,919515400,919.5154,Python,secuencial
RC_SequentialBlock,128,2,902622900,902.6229,Python,secuencial
RC_ParallelBlock,128,2,1022122900,1022.1229,Python,secuencial
RC_EnhancedParallelBlock,128,2,1169731500,1169.7315,Python,secuencial
RR_SequentialBlock,128,2,1001734800,1001.7348,Python,secuencial
RR_ParallelBlock,128,2,900656400,900.6564,Python,secuencial
RR_EnhancedParallelBlock,128,2,1009215900,1009.2159,Python,secuencial
