algoritmo,tamaño,caso,tiempo_ns,tiempo_ms,lenguaje,tipo_ejecucion
NaivOnArray,256,1,7590442100,7590.4421,Python,secuencial
NaivLoopUnrollingTwo,256,1,7456393600,7456.3936,Python,secuencial
NaivLoopUnrollingFour,256,1,5492669100,5492.6691,Python,secuencial
WinogradOriginal,256,1,5999854600,5999.8546,Python,secuencial
WinogradScaled,256,1,5761194400,5761.1944,Python,secuencial
StrassenNaiv,256,1,21962650800,21962.6508,Python,secuencial
StrassenWinograd,256,1,20713013000,20713.0130,Python,secuencial
CC_SequentialBlock,256,1,5316420100,5316.4201,Python,secuencial
CC_ParallelBlock,256,1,5344186000,5344.1860,Python,secuencial
RC_SequentialBlock,256,1,5152553900,5152.5539,Python,secuencial
RC_ParallelBlock,256,1,5096867100,5096.8671,Python,secuencial
RC_EnhancedParallelBlock,256,1,4682394500,4682.3945,Python,secuencial
RR_SequentialBlock,256,1,4354271800,4354.2718,Python,secuencial
RR_ParallelBlock,256,1,4708846600,4708.8466,Python,secuencial
RR_EnhancedParallelBlock,256,1,5162281300,5162.2813,Python,secuencial
NaivOnArray,256,2,4511184100,4511.1841,Python,secuencial
NaivLoopUnrollingTwo,256,2,6055147300,6055.1473,Python,secuencial
NaivLoopUnrollingFour,256,2,4185269100,4185.2691,Python,secuencial
WinogradOriginal,256,2,4902575200,4902.5752,Python,secuencial
WinogradScaled,256,2,8112452800,8112.4528,Python,secuencial
StrassenNaiv,256,2,27202160900,27202.1609,Python,secuencial
StrassenWinograd,256,2,24179197800,24179.1978,Python,secuencial
CC_SequentialBlock,256,2,4396822000,4396.8220,Python,secuencial
CC_ParallelBlock,256,2,4719177300,4719.1773,Python,secuencial
RC_SequentialBlock,256,2,4229725200,4229.7252,Python,secuencial
RC_ParallelBlock,256,2,4417298400,4417.2984,Python,secuencial
RC_EnhancedParallelBlock,256,2,4314737200,4314.7372,Python,secuencial
RR_SequentialBlock,256,2,4097473600,4097.4736,Python,secuencial
RR_ParallelBlock,256,2,4222863900,4222.8639,Python,secuencial
RR_EnhancedParallelBlock,256,2,5408750500,5408.7505,Python,secuencial
