algoritmo,tamaño,caso,tiempo_ns,tiempo_ms
NaivOnArray,16,1,11077700,11.0777
NaivLoopUnrollingTwo,16,1,3228600,3.2286
NaivLoopUnrollingFour,16,1,3823500,3.8235
WinogradOriginal,16,1,4436600,4.4366
WinogradScaled,16,1,4586200,4.5862
StrassenNaiv,16,1,12997200,12.9972
StrassenWinograd,16,1,9476900,9.4769
CC_SequentialBlock,16,1,6949700,6.9497
CC_ParallelBlock,16,1,19393200,19.3932
RC_SequentialBlock,16,1,16914700,16.9147
RC_ParallelBlock,16,1,9851400,9.8514
RC_EnhancedParallelBlock,16,1,23025500,23.0255
RR_SequentialBlock,16,1,5608700,5.6087
RR_ParallelBlock,16,1,4038300,4.0383
RR_EnhancedParallelBlock,16,1,41366100,41.3661
NaivOnArray,16,2,64100,0.0641
NaivLoopUnrollingTwo,16,2,270300,0.2703
NaivLoopUnrollingFour,16,2,263500,0.2635
WinogradOriginal,16,2,584700,0.5847
WinogradScaled,16,2,622300,0.6223
StrassenNaiv,16,2,1582500,1.5825
StrassenWinograd,16,2,2170800,2.1708
CC_SequentialBlock,16,2,770200,0.7702
CC_ParallelBlock,16,2,509100,0.5091
RC_SequentialBlock,16,2,2728300,2.7283
RC_ParallelBlock,16,2,510800,0.5108
RC_EnhancedParallelBlock,16,2,3813000,3.8130
RR_SequentialBlock,16,2,386100,0.3861
RR_ParallelBlock,16,2,420400,0.4204
RR_EnhancedParallelBlock,16,2,4486400,4.4864
NaivOnArray,32,1,902600,0.9026
NaivLoopUnrollingTwo,32,1,1724500,1.7245
NaivLoopUnrollingFour,32,1,5717500,5.7175
WinogradOriginal,32,1,3702400,3.7024
WinogradScaled,32,1,18233300,18.2333
StrassenNaiv,32,1,26917200,26.9172
StrassenWinograd,32,1,27335300,27.3353
CC_SequentialBlock,32,1,7556400,7.5564
CC_ParallelBlock,32,1,9183600,9.1836
RC_SequentialBlock,32,1,3175500,3.1755
RC_ParallelBlock,32,1,3200700,3.2007
RC_EnhancedParallelBlock,32,1,8023100,8.0231
RR_SequentialBlock,32,1,5645700,5.6457
RR_ParallelBlock,32,1,1820800,1.8208
RR_EnhancedParallelBlock,32,1,6662300,6.6623
NaivOnArray,32,2,192000,0.1920
NaivLoopUnrollingTwo,32,2,4801900,4.8019
NaivLoopUnrollingFour,32,2,4397200,4.3972
WinogradOriginal,32,2,11315000,11.3150
WinogradScaled,32,2,6959900,6.9599
StrassenNaiv,32,2,20627400,20.6274
StrassenWinograd,32,2,8278900,8.2789
CC_SequentialBlock,32,2,4830700,4.8307
CC_ParallelBlock,32,2,13636100,13.6361
RC_SequentialBlock,32,2,5553700,5.5537
