algoritmo,tamaño,caso,tiempo_ns,tiempo_ms,lenguaje,tipo_ejecucion
NaivOnArray,16,1,18230200,18.2302,Java,secuencial
NaivLoopUnrollingTwo,16,1,3567300,3.5673,Java,secuencial
NaivLoopUnrollingFour,16,1,10980000,10.9800,Java,secuencial
WinogradOriginal,16,1,83765700,83.7657,Java,secuencial
WinogradScaled,16,1,75120600,75.1206,Java,secuencial
StrassenNaiv,16,1,6385300,6.3853,Java,secuencial
StrassenWinograd,16,1,3545600,3.5456,Java,secuencial
CC_SequentialBlock,16,1,2241500,2.2415,Java,secuencial
CC_ParallelBlock,16,1,36150000,36.1500,Java,secuencial
RC_SequentialBlock,16,1,8646600,8.6466,Java,secuencial
RC_ParallelBlock,16,1,6299100,6.2991,Java,secuencial
RC_EnhancedParallelBlock,16,1,154472700,154.4727,Java,secuencial
RR_SequentialBlock,16,1,2104500,2.1045,Java,secuencial
RR_ParallelBlock,16,1,6450800,6.4508,Java,secuencial
RR_EnhancedParallelBlock,16,1,91012600,91.0126,Java,secuencial
NaivOnArray,16,2,38600,0.0386,Java,secuencial
NaivLoopUnrollingTwo,16,2,283500,0.2835,Java,secuencial
NaivLoopUnrollingFour,16,2,268800,0.2688,Java,secuencial
WinogradOriginal,16,2,315700,0.3157,Java,secuencial
WinogradScaled,16,2,587600,0.5876,Java,secuencial
StrassenNaiv,16,2,1153400,1.1534,Java,secuencial
StrassenWinograd,16,2,6699700,6.6997,Java,secuencial
CC_SequentialBlock,16,2,287600,0.2876,Java,secuencial
CC_ParallelBlock,16,2,360800,0.3608,Java,secuencial
RC_SequentialBlock,16,2,282700,0.2827,Java,secuencial
RC_ParallelBlock,16,2,406900,0.4069,Java,secuencial
RC_EnhancedParallelBlock,16,2,44620800,44.6208,Java,secuencial
RR_SequentialBlock,16,2,297100,0.2971,Java,secuencial
RR_ParallelBlock,16,2,412800,0.4128,Java,secuencial
RR_EnhancedParallelBlock,16,2,32534900,32.5349,Java,secuencial
NaivOnArray,32,1,76600,0.0766,Java,secuencial
NaivLoopUnrollingTwo,32,1,4010400,4.0104,Java,secuencial
NaivLoopUnrollingFour,32,1,3955600,3.9556,Java,secuencial
WinogradOriginal,32,1,2509800,2.5098,Java,secuencial
WinogradScaled,32,1,2774500,2.7745,Java,secuencial
StrassenNaiv,32,1,8026100,8.0261,Java,secuencial
StrassenWinograd,32,1,38088600,38.0886,Java,secuencial
CC_SequentialBlock,32,1,27244900,27.2449,Java,secuencial
CC_ParallelBlock,32,1,6481500,6.4815,Java,secuencial
RC_SequentialBlock,32,1,2185700,2.1857,Java,secuencial
RC_ParallelBlock,32,1,2702400,2.7024,Java,secuencial
RC_EnhancedParallelBlock,32,1,29481300,29.4813,Java,secuencial
RR_SequentialBlock,32,1,4321200,4.3212,Java,secuencial
RR_ParallelBlock,32,1,1959700,1.9597,Java,secuencial
RR_EnhancedParallelBlock,32,1,12420800,12.4208,Java,secuencial
NaivOnArray,32,2,57300,0.0573,Java,secuencial
NaivLoopUnrollingTwo,32,2,2335800,2.3358,Java,secuencial
NaivLoopUnrollingFour,32,2,1746900,1.7469,Java,secuencial
WinogradOriginal,32,2,4036700,4.0367,Java,secuencial
WinogradScaled,32,2,1173500,1.1735,Java,secuencial
StrassenNaiv,32,2,5255100,5.2551,Java,secuencial
StrassenWinograd,32,2,19239400,19.2394,Java,secuencial
CC_SequentialBlock,32,2,13529400,13.5294,Java,secuencial
CC_ParallelBlock,32,2,23106800,23.1068,Java,secuencial
RC_SequentialBlock,32,2,10020000,10.0200,Java,secuencial
RC_ParallelBlock,32,2,5957100,5.9571,Java,secuencial
RC_EnhancedParallelBlock,32,2,9893300,9.8933,Java,secuencial
RR_SequentialBlock,32,2,2570200,2.5702,Java,secuencial
RR_ParallelBlock,32,2,2014000,2.0140,Java,secuencial
RR_EnhancedParallelBlock,32,2,79936500,79.9365,Java,secuencial
NaivOnArray,64,1,1697700,1.6977,Java,secuencial
NaivLoopUnrollingTwo,64,1,8752500,8.7525,Java,secuencial
NaivLoopUnrollingFour,64,1,285414600,285.4146,Java,secuencial
WinogradOriginal,64,1,2130700,2.1307,Java,secuencial
WinogradScaled,64,1,5800400,5.8004,Java,secuencial
StrassenNaiv,64,1,195776100,195.7761,Java,secuencial
StrassenWinograd,64,1,118408200,118.4082,Java,secuencial
CC_SequentialBlock,64,1,8112100,8.1121,Java,secuencial
CC_ParallelBlock,64,1,9706700,9.7067,Java,secuencial
RC_SequentialBlock,64,1,28231900,28.2319,Java,secuencial
RC_ParallelBlock,64,1,9521400,9.5214,Java,secuencial
RC_EnhancedParallelBlock,64,1,115839400,115.8394,Java,secuencial
RR_SequentialBlock,64,1,3420300,3.4203,Java,secuencial
RR_ParallelBlock,64,1,4474100,4.4741,Java,secuencial
RR_EnhancedParallelBlock,64,1,64160900,64.1609,Java,secuencial
NaivOnArray,64,2,478700,0.4787,Java,secuencial
NaivLoopUnrollingTwo,64,2,3232600,3.2326,Java,secuencial
NaivLoopUnrollingFour,64,2,2303700,2.3037,Java,secuencial
WinogradOriginal,64,2,1949700,1.9497,Java,secuencial
WinogradScaled,64,2,2095400,2.0954,Java,secuencial
StrassenNaiv,64,2,97054900,97.0549,Java,secuencial
StrassenWinograd,64,2,67048600,67.0486,Java,secuencial
CC_SequentialBlock,64,2,1867000,1.8670,Java,secuencial
CC_ParallelBlock,64,2,6529300,6.5293,Java,secuencial
RC_SequentialBlock,64,2,6639800,6.6398,Java,secuencial
RC_ParallelBlock,64,2,6109800,6.1098,Java,secuencial
RC_EnhancedParallelBlock,64,2,34466800,34.4668,Java,secuencial
RR_SequentialBlock,64,2,3174900,3.1749,Java,secuencial
RR_ParallelBlock,64,2,5640700,5.6407,Java,secuencial
RR_EnhancedParallelBlock,64,2,59866100,59.8661,Java,secuencial
NaivOnArray,128,1,7567100,7.5671,Java,secuencial
NaivLoopUnrollingTwo,128,1,5786400,5.7864,Java,secuencial
NaivLoopUnrollingFour,128,1,135663100,135.6631,Java,secuencial
WinogradOriginal,128,1,109293000,109.2930,Java,secuencial
WinogradScaled,128,1,109246100,109.2461,Java,secuencial
StrassenNaiv,128,1,645655800,645.6558,Java,secuencial
StrassenWinograd,128,1,390734200,390.7342,Java,secuencial
CC_SequentialBlock,128,1,11342100,11.3421,Java,secuencial
CC_ParallelBlock,128,1,9955800,9.9558,Java,secuencial
RC_SequentialBlock,128,1,11933100,11.9331,Java,secuencial
RC_ParallelBlock,128,1,2283400,2.2834,Java,secuencial
RC_EnhancedParallelBlock,128,1,47396900,47.3969,Java,secuencial
RR_SequentialBlock,128,1,8959700,8.9597,Java,secuencial
RR_ParallelBlock,128,1,5782700,5.7827,Java,secuencial
RR_EnhancedParallelBlock,128,1,48777700,48.7777,Java,secuencial
NaivOnArray,128,2,3887300,3.8873,Java,secuencial
NaivLoopUnrollingTwo,128,2,8744700,8.7447,Java,secuencial
NaivLoopUnrollingFour,128,2,4736100,4.7361,Java,secuencial
WinogradOriginal,128,2,4884500,4.8845,Java,secuencial
WinogradScaled,128,2,10724100,10.7241,Java,secuencial
StrassenNaiv,128,2,246799400,246.7994,Java,secuencial
StrassenWinograd,128,2,367288500,367.2885,Java,secuencial
CC_SequentialBlock,128,2,12531900,12.5319,Java,secuencial
CC_ParallelBlock,128,2,8665900,8.6659,Java,secuencial
RC_SequentialBlock,128,2,9521400,9.5214,Java,secuencial
RC_ParallelBlock,128,2,16398600,16.3986,Java,secuencial
RC_EnhancedParallelBlock,128,2,12070400,12.0704,Java,secuencial
RR_SequentialBlock,128,2,4074200,4.0742,Java,secuencial
RR_ParallelBlock,128,2,2465500,2.4655,Java,secuencial
RR_EnhancedParallelBlock,128,2,18256700,18.2567,Java,secuencial
