algoritmo,tamaño,caso,tiempo_ns,tiempo_ms,lenguaje,tipo_ejecucion
NaivOnArray,16,1,949700,0.9497,Python,secuencial
NaivLoopUnrollingTwo,16,1,1236700,1.2367,Python,secuencial
NaivLoopUnrollingFour,16,1,1028400,1.0284,Python,secuencial
WinogradOriginal,16,1,1293000,1.2930,Python,secuencial
WinogradScaled,16,1,3140300,3.1403,Python,secuencial
StrassenNaiv,16,1,10137100,10.1371,Python,secuencial
StrassenWinograd,16,1,14281800,14.2818,Python,secuencial
CC_SequentialBlock,16,1,1059200,1.0592,Python,secuencial
CC_ParallelBlock,16,1,4516600,4.5166,Python,secuencial
RC_SequentialBlock,16,1,1045300,1.0453,Python,secuencial
RC_ParallelBlock,16,1,6680600,6.6806,Python,secuencial
RC_EnhancedParallelBlock,16,1,3387200,3.3872,Python,secuencial
RR_SequentialBlock,16,1,991900,0.9919,Python,secuencial
RR_ParallelBlock,16,1,1516700,1.5167,Python,secuencial
RR_EnhancedParallelBlock,16,1,3037400,3.0374,Python,secuencial
NaivOnArray,16,2,787700,0.7877,Python,secuencial
NaivLoopUnrollingTwo,16,2,1257600,1.2576,Python,secuencial
NaivLoopUnrollingFour,16,2,880900,0.8809,Python,secuencial
WinogradOriginal,16,2,2174900,2.1749,Python,secuencial
WinogradScaled,16,2,1163200,1.1632,Python,secuencial
StrassenNaiv,16,2,5508100,5.5081,Python,secuencial
StrassenWinograd,16,2,6250400,6.2504,Python,secuencial
CC_SequentialBlock,16,2,853300,0.8533,Python,secuencial
CC_ParallelBlock,16,2,3292700,3.2927,Python,secuencial
RC_SequentialBlock,16,2,865100,0.8651,Python,secuencial
RC_ParallelBlock,16,2,1659100,1.6591,Python,secuencial
RC_EnhancedParallelBlock,16,2,2150900,2.1509,Python,secuencial
RR_SequentialBlock,16,2,860700,0.8607,Python,secuencial
RR_ParallelBlock,16,2,1380700,1.3807,Python,secuencial
RR_EnhancedParallelBlock,16,2,1962600,1.9626,Python,secuencial
